sensor_id,thing_id,thing_token,hos,building_found,building_name,system_id,system_name,district_name,neighborhood,lat,lon,resource_detected,last_timestamp,last_value,has_real_value,timestamp_status,days_since_last_data,active_status,issues,api_error
HOS504-S02-01 BET00230059,G556UP-SDICJ0z-uUi77YJ8nkBQLIfS4JiskOjqASlc,QjSRND0hsE80omWKBbiDj2q4Q6_w9OKSH6MxecsWEL4,HOS504,True,HOS504,S02,CONTAMINACIÓN EXTERIOR,,,,,temperature,2026-06-20T09:22:33.198Z,32,True,OK,0.0,ACTIVE_24H,MISSING_COORDS; MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
BET00230154,vyoObnVyAQLIp0G5lnS0BtrQliPxCRohVG5pEP9kHA4,uZAvrs3gMBlIHSS9cZ83_qz2sxwLCbOP_gh5Z8FBxZc,,False,,S02,CONTAMINACIÓN EXTERIOR,,,,,temperature,2026-06-20T09:22:33.633Z,16,True,OK,0.0,ACTIVE_24H,MISSING_HOS; MISSING_COORDS; BUILDING_NOT_FOUND; MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS511-S02-01 BET00230067,P1R0s3qUfWq5443HCWV-75b2vis7vpruWWOWvyr7ihA,0aYOB8tyUiVv9kp-dbf0BlwYySLIix5ktFwijitBUTo,HOS511,True,HOS511,S02,CONTAMINACIÓN EXTERIOR,,,41.366928,2.11251,temperature,2026-06-20T09:22:31.365Z,34,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS104-S02-01 BET00230044,9RmOMSnPJglQJ0OZoVS6QdBeAZ6-fHMG9TkpzTI0gjM,8MIBMhazTYzS9Fy57Aj03aoMHPt751NQypeXjAUJHE8,HOS104,True,HOS104 Ara Vinc,S02,CONTAMINACIÓN EXTERIOR,,,41.34864199688712,2.1278077410536884,temperature,2026-06-20T09:22:31.986Z,33,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS508-S02-01 BET00230064,1NwDlCAwmCjKzsgAtcqg0tON7JFd9vXKJQ-m1PejYjw,d9DdR9A5Cm2tgWI2uf6mtTEgASLJnq9SMjzAxQ7ywgc,HOS508,True,HOS508,S02,CONTAMINACIÓN EXTERIOR,,,41.37274,2.11694,temperature,2026-06-20T09:22:31.598Z,30,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS137-S02-01 BET00230037,nsn-FjlsTl6YriQD3Io8zAl1S2h-0zKHFXzQU5LAglw,2wfEQxyp3Fx42SKL6uKXQxWjLXFxMmccvYVpdGgXQCE,HOS137,True,HOS137 C. A.Prytanis Hospitalet,S02,CONTAMINACIÓN EXTERIOR,,,41.36415236878068,2.1301074968772,temperature,2026-06-20T09:22:34.253Z,13,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS024-S02-01-BET00230039,5ZNeqH6IoaRddPT_tGfAFrGPQ58Sd3kEohKXgDvw5oQ,L5Wx_uaEpgBCw1Bhc_5EKcuqzzEFsC32IyrBAfFfLCs,HOS024,True,HOS024 Torre Barrina,S02,CONTAMINACIÓN EXTERIOR,,,41.37545179029178,2.117481366194221,temperature,2026-06-20T09:22:30.358Z,31,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
Deixalleria Municipal - HOS132-S02-01 BET00230060,MzmEiSRRNnHnq65i-o7gQmXyjZhUHiUM8H7DVEar6Eo,npPEl4msdSLvmXriIpKaMZarRWKXKCigNvE1bmVpkTY,HOS132,True,HOS132 Deixalleria Municipal,S02,CONTAMINACIÓN EXTERIOR,,,41.37426,2.10769,temperature,2026-06-20T09:22:31.374Z,35,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS128-S02-01 BET00230038,r07qpMIayX32SrVzIqaBCfjywHOuhqm5on4ADF9kRFg,7xoBywsRb9fnCxHBMNxxAROS6JhCTGBfiWxTLtATIZc,HOS128,True,HOS128 Edificio PUIG,S02,CONTAMINACIÓN EXTERIOR,,,41.35766312267478,2.1222155833831935,temperature,2026-06-20T09:22:33.949Z,29,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS157-S02-01 BET00230040,ZwlgXpeLiKRjN2rlOqTtUMX2hUg5d0xyC9MuQcMycEI,yp7ZibsKh7t8jSRETcSY7UBRIkAmefmPdt0YLleJofU,HOS157,True,HOS157 Tanat. L'Hospitalet Ronda,S02,CONTAMINACIÓN EXTERIOR,,,41.362582772859554,2.092157068041681,temperature,2026-06-20T09:22:30.451Z,32,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
